City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,as saffaniyah,27.657,49.2064,290.6,47,16,8.29,SA,1734481284
1,mount isa,-16.9244,139.8569,303.2,74,100,2.23,AU,1734481287
2,albany,53.9614,139.0659,251.39,91,68,2.87,RU,1734481294
3,aswan,18.6973,120.5448,298.59,75,100,14.13,PH,1734481301
4,port mathurin,23.9126,32.7297,289.29,31,83,4.99,EG,1734481305
5,usogorsk,46.8552,-82.7215,271.73,91,100,3.33,CA,1734481309
6,hasaki,67.5903,47.809,263.67,85,95,4.17,RU,1734481316
7,wailua homesteads,65.4979,-149.4032,246.98,98,66,1.76,US,1734481325
8,ratnagiri,-8.3532,123.0219,302.0,73,76,2.12,ID,1734481326
9,iqaluit,-39.4934,-71.2745,284.03,65,0,3.5,AR,1734481328
10,udachny,38.6844,83.6479,268.17,63,64,0.93,CN,1734481329
11,xinyuan,34.0416,10.3372,280.18,59,2,3.39,TN,1734481343
12,grytviken,53.42,52.7188,269.99,95,100,5.91,RU,1734481344
13,hilo,-17.4213,-140.0377,299.08,76,99,4.92,PF,1734481350
14,cromer,0.1459,119.2734,302.52,71,99,6.15,ID,1734481352
15,dungarpur,59.2035,17.2447,272.28,65,51,1.96,SE,1734481353
16,saksaul'skiy,40.8153,8.8469,279.6,93,3,1.54,IT,1734481358
17,kuala belait,43.3912,82.8016,258.12,72,0,0.93,CN,1734481360
18,markha,40.826,117.4404,263.05,49,0,1.56,CN,1734481366
19,malango,-36.1836,-59.7972,298.13,39,100,7.34,AR,1734481371
20,port glaud,58.5036,-135.5434,266.65,72,91,2.93,US,1734481373
21,fort bragg,24.0817,73.6564,286.62,30,0,3.4,IN,1734481379
22,stanley,-21.909,48.5539,299.87,76,70,7.64,MG,1734481380
23,bilibino,-14.1243,49.9429,293.49,92,62,1.01,MG,1734481385
24,mirny,48.5093,61.0204,272.93,88,99,9.07,KZ,1734481389
25,uturoa,-8.7032,111.7395,301.41,78,96,7.74,ID,1734481393
26,newman,-20.1006,-54.5923,299.52,48,0,1.41,BR,1734481395
27,kiruna,55.1658,117.1229,249.08,99,100,0.54,RU,1734481400
28,novi sanzhary,62.3158,129.6745,240.41,100,100,0.19,RU,1734481401
29,mata-utu,-1.4067,-44.2001,300.37,85,41,9.64,BR,1734481404
30,bamboo flat,51.4563,74.4973,262.4,62,100,4.99,KZ,1734481409
31,savanna-la-mar,54.6789,50.1836,270.26,85,100,5.29,RU,1734481415
32,port lincoln,52.6684,-173.5143,277.39,87,100,5.73,US,1734481418
33,tolanaro,46.4408,81.8329,263.34,72,2,8.01,KZ,1734481423
34,cadale,61.7193,113.9327,249.31,95,18,3.98,RU,1734481433
35,mendoza,49.2406,143.8416,264.45,75,100,7.86,RU,1734481441
36,wadowice,-14.9697,-73.4145,278.04,92,100,3.66,PE,1734481448
37,olinda,66.8811,18.6308,255.1,99,25,0.38,SE,1734481451
38,price,49.332,34.4519,275.45,75,14,8.83,UA,1734481452
39,mathba,-27.4035,-48.4964,295.52,85,10,2.07,BR,1734481454
40,xiahu,40.7797,-0.0127,281.29,28,52,1.07,ES,1734481459
41,byron bay,23.9924,-108.5554,294.18,75,9,7.3,MX,1734481460
42,aasiaat,61.4422,26.2221,254.51,100,82,1.35,FI,1734481463
43,greytown,12.4343,93.2299,301.18,73,44,7.11,IN,1734481465
44,digras,69.3564,-153.3581,243.3,87,3,1.14,US,1734481476
45,gadzhiyevo,-28.5995,123.6971,297.22,35,0,7.16,AU,1734481479
46,st. john's,36.2291,141.1639,284.12,59,1,6.44,JP,1734481483
47,jamestown,17.9229,-79.6459,300.72,73,40,5.51,JM,1734481484
48,san mariano,-32.7653,134.1462,293.96,49,0,3.96,AU,1734481486
49,katsuura,-1.0124,-80.4513,298.51,72,97,3.04,EC,1734481504
50,kaoma,-11.7242,-66.906,297.74,82,94,1.56,BO,1734481506
51,cole harbour,54.5081,-80.0367,270.49,71,100,11.52,CA,1734481507
52,chonchi,27.1098,57.9127,279.77,35,44,1.78,IR,1734481510
53,ilulissat,-16.8424,-68.2094,283.25,62,67,4.15,BO,1734481513
54,minas de marcona,60.5379,134.928,244.06,98,100,0.44,RU,1734481517
